"unaligned","aligned_unmapped","mapped_to_exon","mapped_to_intron","ambiguous_mapping","mapped_to_ERCC","mapped_to_MT","number_of_genes","total_count_per_cell","non_mt_percent","non_ribo_percent","outliers","is_cell_control","total_features_by_counts","log10_total_features_by_counts","total_counts","log10_total_counts","pct_counts_in_top_50_features","pct_counts_in_top_100_features","pct_counts_in_top_200_features","pct_counts_in_top_500_features","total_features","log10_total_features","pct_counts_top_50_features","pct_counts_top_100_features","pct_counts_top_200_features","pct_counts_top_500_features","cell_line","cell_line_demuxlet","demuxlet_cls"
"Lib90_00000",22485,2861,129248,10666,5503,0,9095,8344,104055,0.801874008860519,0.788371458519873,"FALSE",FALSE,8344,3.92142634101527,104055,5.01726712723639,27.3076738263418,39.5387054922877,52.6779107202922,67.1183508721349,8344,3.92142634101527,27.3076738263418,39.5387054922877,52.6779107202922,67.1183508721349,"HCC827","HCC827","SNG"
"Lib90_00001",20325,2383,124178,11106,5308,0,9170,8216,100421,0.80285995949026,0.789127693497606,"FALSE",FALSE,8216,3.91471328697362,100421,5.00182886651368,27.7292598161739,40.3421595084693,53.8502902779299,68.0475199410482,8216,3.91471328697362,27.7292598161739,40.3421595084693,53.8502902779299,68.0475199410482,"HCC827","HCC827","DBL"
"Lib90_00002",19279,2732,116260,9561,5064,0,6044,8121,93744,0.79980585415602,0.810377111028214,"FALSE",FALSE,8121,3.90966298515402,93744,4.9719481134097,21.5096432838368,32.3807390339648,45.084485407066,61.4321983273596,8121,3.90966298515402,21.5096432838368,32.3807390339648,45.084485407066,61.4321983273596,"H838","H838","SNG"
"Lib90_00003",18580,2575,109675,11012,4764,0,6806,7809,89426,0.814897233375652,0.746393582806613,"FALSE",FALSE,7809,3.8926510338773,89426,4.95146866175644,29.2700109587816,43.4191398474717,57.2775255518529,71.0565160020576,7809,3.8926510338773,29.2700109587816,43.4191398474717,57.2775255518529,71.0565160020576,"HCC827","HCC827","SNG"
"Lib90_00004",17759,2067,108807,9501,4809,0,4794,7807,87517,0.81359050232371,0.770935844357571,"FALSE",FALSE,7807,3.89253980465864,87517,4.94209738441339,26.2623261766285,39.0472708159558,52.9417141812448,67.6451432293155,7807,3.89253980465864,26.2623261766285,39.0472708159558,52.9417141812448,67.6451432293155,"HCC827","HCC827","SNG"
"Lib90_00005",18555,2782,100241,10520,4288,0,6067,7979,81967,0.816194322005661,0.773530716809116,"FALSE",FALSE,7979,3.90200289135073,81967,4.91364433853227,27.9917527785572,41.7302084985421,54.5707418839289,68.043236912416,7979,3.90200289135073,27.9917527785572,41.7302084985421,54.5707418839289,68.043236912416,"HCC827","HCC827","SNG"
"Lib90_00006",17813,2400,102527,7223,4813,0,4669,7549,82620,0.811147421833557,0.8036067775833,"FALSE",FALSE,7549,3.87794695162919,82620,4.91709044713843,22.7039457758412,34.6502057613169,47.436456063907,63.1433067053982,7549,3.87794695162919,22.7039457758412,34.6502057613169,47.436456063907,63.1433067053982,"H1975","H1975","SNG"
"Lib90_00007",17964,2057,101138,7292,4696,0,4447,7959,81440,0.808828585362374,0.800675245496655,"FALSE",FALSE,7959,3.90091306773767,81440,4.9108430976525,23.9943516699411,35.6200884086444,48.0562377210216,63.2576129666012,7959,3.90091306773767,23.9943516699411,35.6200884086444,48.0562377210216,63.2576129666012,"H1975","H1975","SNG"
"Lib90_00008",16333,2054,98974,8312,4292,0,6208,7607,81455,0.805156221127597,0.805561253997759,"FALSE",FALSE,7607,3.88127050392936,81455,4.91092307969326,24.795285740593,36.9848382542508,50.4339819532257,65.1918237063409,7607,3.88127050392936,24.795285740593,36.9848382542508,50.4339819532257,65.1918237063409,"HCC827","HCC827","SNG"
"Lib90_00009",18041,2977,101325,10849,4127,0,8744,7602,83669,0.813395642255388,0.722059457856619,"FALSE",FALSE,7602,3.88098499048675,83669,4.92256976898571,34.3723481815248,50.3256881282195,64.4563697426765,75.8596373806308,7602,3.88098499048675,34.3723481815248,50.3256881282195,64.4563697426765,75.8596373806308,"H1975","HCC827","DBL"
